UNIPROT:O75037:T116:PRGE	Kinesin-like protein KIF21B
UNIPROT:P03905:T116:PRGE	NADH-ubiquinone oxidoreductase chain 4
UNIPROT:Q96MY1:T116:PRGE	Uncharacterized protein C20orf112
UNIPROT:Q29718:T116:PRGE	HLA class I histocompatibility antigen, B-82 alpha chain
UNIPROT:O75030:T116:PRGE	Microphthalmia-associated transcription factor
UNIPROT:O75031:T116:PRGE	Heat shock factor 2-binding protein
UNIPROT:Q658N2:T116:PRGE	WSC domain-containing protein 1
UNIPROT:Q06710:T116:PRGE	Paired box protein Pax-8
UNIPROT:P01570:T116:PRGE	IFN-alpha-14
UNIPROT:P34820:T116:PRGE	BMP-8B
UNIPROT:P01571:T116:PRGE	Interferon alpha-17
UNIPROT:P01579:T116:PRGE	Interferon gamma
UNIPROT:Q96MZ4:T116:PRGE	Uncharacterized protein C4orf39
UNIPROT:P60331:T116:PRGE	Keratin-associated protein 10-1
UNIPROT:Q9UGL9:T116:PRGE	Cysteine-rich C-terminal protein 1
UNIPROT:Q86SJ6:T116:PRGE	Desmoglein-4
UNIPROT:P01574:T116:PRGE	IFN-beta
UNIPROT:P03915:T116:PRGE	NADH-ubiquinone oxidoreductase chain 5
UNIPROT:Q96MZ0:T116:PRGE	Ganglioside-induced differentiation-associated protein 1-like 1
UNIPROT:O75044:T116:PRGE	SLIT-ROBO Rho GTPase-activating protein 2
UNIPROT:O75051:T116:PRGE	Plexin-A2
UNIPROT:P01583:T116:PRGE	IL-1 alpha
UNIPROT:P34810:T116:PRGE	Macrosialin
UNIPROT:Q86SJ2:T116:PRGE	Amphoterin-induced protein 2
UNIPROT:Q9UGM1:T116:PRGE	Neuronal acetylcholine receptor subunit alpha-9
UNIPROT:Q4VC44:T116:PRGE	FLYWCH-type zinc finger-containing protein 1
UNIPROT:Q8TDC0:T116:PRGE	Myozenin-3
UNIPROT:P30447:T116:PRGE	HLA class I histocompatibility antigen, A-23 alpha chain
UNIPROT:Q8TDC3:T116:PRGE	BR serine/threonine-protein kinase 1
UNIPROT:Q658L1:T116:PRGE	Protein FAM154B
UNIPROT:P30443:T116:PRGE	HLA class I histocompatibility antigen, A-1 alpha chain
UNIPROT:Q96NH3:T116:PRGE	Protein broad-minded
UNIPROT:Q5SWL8:T116:PRGE	PRAME family member 19
UNIPROT:Q86SE9:T116:PRGE	Polycomb group RING finger protein 5
UNIPROT:Q9UGC7:T116:PRGE	Peptide chain release factor 1-like, mitochondrial
UNIPROT:P61457:T116:PRGE	PHS
UNIPROT:P03928:T116:PRGE	ATP synthase protein 8
UNIPROT:Q9UGC6:T116:PRGE	Regulator of G-protein signaling 17
UNIPROT:Q9BRR0:T116:PRGE	Zinc finger protein with KRAB and SCAN domains 3
UNIPROT:Q5SWL7:T116:PRGE	PRAME family member 14
UNIPROT:Q9BS31:T116:PRGE	Zinc finger protein 649
UNIPROT:Q6IN97:T116:PRGE	Putative protein FRMPD2-like
UNIPROT:P03923:T116:PRGE	NADH-ubiquinone oxidoreductase chain 6
UNIPROT:Q9BRR3:T116:PRGE	Transmembrane protein C9orf125
UNIPROT:Q9BS34:T116:PRGE	Zinc finger protein 670
UNIPROT:Q9BRR6:T116:PRGE	ADP-dependent glucokinase
UNIPROT:Q86SE5:T116:PRGE	RNA-binding Raly-like protein
UNIPROT:Q15929:T116:PRGE	Putative zinc finger protein 56
UNIPROT:Q9BRR8:T116:PRGE	G patch domain-containing protein 1
UNIPROT:Q15928:T116:PRGE	Zinc finger protein 141
UNIPROT:Q9BRR9:T116:PRGE	Rho GTPase-activating protein 9
UNIPROT:Q86SE8:T116:PRGE	Nucleoplasmin-2
UNIPROT:A1KXE4:T116:PRGE	Protein FAM168B
UNIPROT:Q9BRP9:T116:PRGE	Putative uncharacterized protein MGC13053
UNIPROT:Q9BS18:T116:PRGE	Anaphase-promoting complex subunit 13
UNIPROT:Q9BRP8:T116:PRGE	Partner of Y14 and mago
UNIPROT:Q4VC39:T116:PRGE	Putative HIG1 domain family member 2B
UNIPROT:Q8TDD2:T116:PRGE	Transcription factor Sp7
UNIPROT:Q8TDD1:T116:PRGE	ATP-dependent RNA helicase DDX54
UNIPROT:Q96NI8:T116:PRGE	Zinc finger protein 570
UNIPROT:Q8TDD5:T116:PRGE	Mucolipin-3
UNIPROT:Q96NI6:T116:PRGE	Leucine-rich repeat and fibronectin type-III domain-containing protein 5
UNIPROT:Q9UGB4:T116:PRGE	Putative uncharacterized protein C20orf187
UNIPROT:Q9UGB7:T116:PRGE	Inositol oxygenase
UNIPROT:P02649:T116:PRGE	Apo-E
UNIPROT:Q15911:T116:PRGE	Zinc finger homeobox protein 3
UNIPROT:Q0VGL1:T116:PRGE	UPF0539 protein C7orf59
UNIPROT:Q15910:T116:PRGE	Histone-lysine N-methyltransferase EZH2
UNIPROT:Q9BRQ0:T116:PRGE	Pygopus homolog 2
UNIPROT:P17707:T116:PRGE	SAMDC
UNIPROT:Q9BRQ3:T116:PRGE	Nucleoside diphosphate-linked moiety X motif 22
UNIPROT:Q9BRQ4:T116:PRGE	Uncharacterized protein C11orf70
UNIPROT:P17706:T116:PRGE	Tyrosine-protein phosphatase non-receptor type 2
UNIPROT:P02647:T116:PRGE	Apolipoprotein A-I
UNIPROT:Q9BRQ8:T116:PRGE	Apoptosis-inducing factor 2
UNIPROT:Q4VC31:T116:PRGE	Coiled-coil domain-containing protein 58
UNIPROT:Q9BRQ5:T116:PRGE	Protein orai-3
UNIPROT:Q15916:T116:PRGE	Zinc finger and BTB domain-containing protein 6
UNIPROT:Q9BRQ6:T116:PRGE	Coiled-coil-helix-coiled-coil-helix domain-containing protein 6
UNIPROT:Q15915:T116:PRGE	Zinc finger protein ZIC 1
UNIPROT:Q9BS26:T116:PRGE	ER protein 44
UNIPROT:Q86SG2:T116:PRGE	Ankyrin repeat domain-containing protein 23
UNIPROT:P56134:T116:PRGE	ATP synthase subunit f, mitochondrial
UNIPROT:Q70J99:T116:PRGE	Protein unc-13 homolog D
UNIPROT:P31040:T116:PRGE	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
UNIPROT:Q96NF6:T116:PRGE	Putative uncharacterized protein C8orf49
UNIPROT:P02655:T116:PRGE	ApoC-II
UNIPROT:Q9BRP4:T116:PRGE	Proteasomal ATPase-associated factor 1
UNIPROT:Q86SG7:T116:PRGE	Lysozyme g-like protein 2
UNIPROT:Q15904:T116:PRGE	V-type proton ATPase subunit S1
UNIPROT:P02656:T116:PRGE	Apo-CIII
UNIPROT:Q15907:T116:PRGE	Ras-related protein Rab-11B
UNIPROT:Q9BS16:T116:PRGE	Centromere protein K
UNIPROT:Q9BRP7:T116:PRGE	Ferredoxin-fold anticodon-binding domain-containing protein 1
UNIPROT:Q15906:T116:PRGE	Vacuolar protein sorting-associated protein 72 homolog
UNIPROT:Q86SG3:T116:PRGE	Deleted in azoospermia protein 4
UNIPROT:Q9BRP0:T116:PRGE	hOvo2
UNIPROT:P02652:T116:PRGE	Apolipoprotein A-II
UNIPROT:Q9BRP1:T116:PRGE	Programmed cell death protein 2-like
UNIPROT:Q86SG4:T116:PRGE	D-PCa-2
UNIPROT:Q86SG5:T116:PRGE	Protein S100-A7A
UNIPROT:Q86SG6:T116:PRGE	Serine/threonine-protein kinase Nek8
UNIPROT:P02654:T116:PRGE	Apo-CIB
UNIPROT:P02671:T116:PRGE	Fibrinogen alpha chain
UNIPROT:P30414:T116:PRGE	NK-tumor recognition protein
UNIPROT:Q9BRN9:T116:PRGE	TM2 domain-containing protein 3
UNIPROT:P30419:T116:PRGE	Glycylpeptide N-tetradecanoyltransferase 1
UNIPROT:Q4VC12:T116:PRGE	Zinc finger MYND domain-containing protein 17
UNIPROT:P31025:T116:PRGE	Lipocalin-1
UNIPROT:Q8TDB8:T116:PRGE	Solute carrier family 2, facilitated glucose transporter member 14
UNIPROT:Q6XYQ8:T116:PRGE	Synaptotagmin-10
UNIPROT:Q8TDB6:T116:PRGE	E3 ubiquitin-protein ligase DTX3L
UNIPROT:Q96NG5:T116:PRGE	Zinc finger protein 558
UNIPROT:Q8TDB4:T116:PRGE	Uncharacterized protein C4orf49
UNIPROT:Q96NG3:T116:PRGE	TPR repeat protein 25
UNIPROT:P30411:T116:PRGE	B2R
UNIPROT:Q96NG8:T116:PRGE	Zinc finger protein 582
UNIPROT:P61421:T116:PRGE	V-ATPase subunit d 1
UNIPROT:Q658K8:T116:PRGE	Putative elongation factor 1-delta-like protein
UNIPROT:P03950:T116:PRGE	Angiogenin
UNIPROT:P03951:T116:PRGE	Coagulation factor XI
UNIPROT:P03952:T116:PRGE	Plasma kallikrein
UNIPROT:P60372:T116:PRGE	Keratin-associated protein 10-4
UNIPROT:P60371:T116:PRGE	Keratin-associated protein 10-6
UNIPROT:P60370:T116:PRGE	Keratin-associated protein 10-5
UNIPROT:Q86SF2:T116:PRGE	N-acetylgalactosaminyltransferase 7
UNIPROT:P03956:T116:PRGE	Interstitial collagenase
UNIPROT:Q96ND0:T116:PRGE	Uncharacterized protein C18orf19
UNIPROT:P30408:T116:PRGE	Transmembrane 4 L6 family member 1
UNIPROT:P30405:T116:PRGE	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
UNIPROT:Q8TDG2:T116:PRGE	Actin-related protein T1
UNIPROT:Q8TDG4:T116:PRGE	Helicase POLQ-like
UNIPROT:Q04671:T116:PRGE	P protein
UNIPROT:Q9BRV8:T116:PRGE	Suppressor of IKBKE 1
UNIPROT:Q5SWH9:T116:PRGE	Transmembrane protein 69
UNIPROT:Q03933:T116:PRGE	HSF 2
UNIPROT:Q03936:T116:PRGE	Zinc finger protein 92
UNIPROT:Q96ND8:T116:PRGE	Zinc finger protein 583
UNIPROT:Q03938:T116:PRGE	Zinc finger protein 90
UNIPROT:Q9BRV3:T116:PRGE	RAG1-activating protein 1
UNIPROT:Q8TDH9:T116:PRGE	Protein Muted homolog
UNIPROT:P17752:T116:PRGE	Tryptophan 5-hydroxylase 1
UNIPROT:Q7LGC8:T116:PRGE	Carbohydrate sulfotransferase 3
UNIPROT:P03971:T116:PRGE	Muellerian-inhibiting factor
UNIPROT:Q8TDI0:T116:PRGE	Chromodomain-helicase-DNA-binding protein 5
UNIPROT:Q5T8I9:T116:PRGE	UPF0486 protein C1orf59
UNIPROT:P03973:T116:PRGE	Antileukoproteinase
UNIPROT:Q9BRU9:T116:PRGE	rRNA-processing protein UTP23 homolog
UNIPROT:Q96NE9:T116:PRGE	FERM domain-containing protein 6
UNIPROT:Q9UGF5:T116:PRGE	Olfactory receptor 14J1
UNIPROT:Q5T8I3:T116:PRGE	Protein FAM102B
UNIPROT:P03979:T116:PRGE	T-cell receptor gamma chain V region PT-gamma-1/2
UNIPROT:Q9UGF7:T116:PRGE	Olfactory receptor 12D3
UNIPROT:Q9BRU2:T116:PRGE	TCEA-like protein 7
UNIPROT:Q9UGF6:T116:PRGE	Olfactory receptor 5V1
UNIPROT:Q96NB1:T116:PRGE	LisH domain-containing protein C16orf63
UNIPROT:P29279:T116:PRGE	Connective tissue growth factor
UNIPROT:Q8TDE3:T116:PRGE	Ribonuclease 8
UNIPROT:P68543:T116:PRGE	UBX domain-containing protein 2A
UNIPROT:P29275:T116:PRGE	Adenosine receptor A2b
UNIPROT:P29274:T116:PRGE	Adenosine receptor A2a
UNIPROT:Q9BRT9:T116:PRGE	DNA replication complex GINS protein SLD5
UNIPROT:P17735:T116:PRGE	Tyrosine aminotransferase
UNIPROT:Q9BRT7:T116:PRGE	Putative uncharacterized protein C1orf97
UNIPROT:Q9BRT6:T116:PRGE	Protein LLP homolog
UNIPROT:P03986:T116:PRGE	T-cell receptor gamma-2 chain C region
UNIPROT:Q96NB2:T116:PRGE	Sideroflexin-2
UNIPROT:Q96NB3:T116:PRGE	Zinc finger protein 830
UNIPROT:Q9BRT3:T116:PRGE	Uncharacterized protein C17orf37
UNIPROT:Q9BRT2:T116:PRGE	Uncharacterized protein C6orf125
UNIPROT:Q96NC0:T116:PRGE	Zinc finger matrin-type protein 2
UNIPROT:P34896:T116:PRGE	SHMT
UNIPROT:Q8TDF5:T116:PRGE	Neuropilin and tolloid-like protein 1
UNIPROT:P32519:T116:PRGE	ETS-related transcription factor Elf-1
UNIPROT:P34897:T116:PRGE	Serine hydroxymethyltransferase, mitochondrial
UNIPROT:Q8TDF6:T116:PRGE	RAS guanyl-releasing protein 4
UNIPROT:A7KAX9:T116:PRGE	Rho GTPase-activating protein 32
UNIPROT:Q03923:T116:PRGE	Zinc finger protein 85
UNIPROT:Q04656:T116:PRGE	Copper-transporting ATPase 1
UNIPROT:Q03924:T116:PRGE	Zinc finger protein 117
UNIPROT:Q9BRS8:T116:PRGE	La-related protein 6
UNIPROT:Q75WM6:T116:PRGE	Testis-specific H1 histone
UNIPROT:P03999:T116:PRGE	Blue-sensitive opsin
UNIPROT:Q9BRS2:T116:PRGE	Serine/threonine-protein kinase RIO1
UNIPROT:Q6IN84:T116:PRGE	rRNA methyltransferase 1, mitochondrial
UNIPROT:Q9BS40:T116:PRGE	Latexin
UNIPROT:Q14469:T116:PRGE	Transcription factor HES-1
UNIPROT:Q9BSK0:T116:PRGE	Putative MARVEL domain-containing protein 1
UNIPROT:Q9BSK1:T116:PRGE	Zinc finger protein 577
UNIPROT:Q8TDM5:T116:PRGE	Sperm acrosome membrane-associated protein 4
UNIPROT:Q03989:T116:PRGE	ARID domain-containing protein 5A
UNIPROT:Q70JA7:T116:PRGE	Chondroitin sulfate synthase 3
UNIPROT:Q9BSJ6:T116:PRGE	Protein FAM64A
UNIPROT:Q9BSJ5:T116:PRGE	Uncharacterized protein C17orf80
UNIPROT:Q9BSJ8:T116:PRGE	Extended synaptotagmin-1
UNIPROT:Q96N03:T116:PRGE	V-set and transmembrane domain-containing protein 2-like protein
UNIPROT:Q9BSJ2:T116:PRGE	GCP-2
UNIPROT:Q9BSJ1:T116:PRGE	SPRY domain-containing protein 5
UNIPROT:Q96N06:T116:PRGE	Uncharacterized protein C16orf55
UNIPROT:A3QJZ6:T116:PRGE	PRAME family member 22
UNIPROT:Q5T8D3:T116:PRGE	Acyl-CoA-binding domain-containing protein 5
UNIPROT:P00451:T116:PRGE	Coagulation factor VIII
UNIPROT:Q9BSL1:T116:PRGE	UBA domain-containing protein 1
UNIPROT:Q96MN2:T116:PRGE	NACHT, LRR and PYD domains-containing protein 4
UNIPROT:Q96MN5:T116:PRGE	Uncharacterized protein C1orf83
UNIPROT:P56199:T116:PRGE	Integrin alpha-1
UNIPROT:Q9BSK4:T116:PRGE	FEM1a
UNIPROT:Q9BSK2:T116:PRGE	Solute carrier family 25 member 33
UNIPROT:Q96MN9:T116:PRGE	Zinc finger protein 488
UNIPROT:Q8IU99:T116:PRGE	Calcium homeostasis modulator protein 1
UNIPROT:Q14449:T116:PRGE	Growth factor receptor-bound protein 14
UNIPROT:Q15973:T116:PRGE	Zinc finger protein 124
UNIPROT:Q8IU81:T116:PRGE	IRF-2BP1
UNIPROT:Q14444:T116:PRGE	Caprin-1
UNIPROT:P0C604:T116:PRGE	Putative olfactory receptor 4A8
UNIPROT:P00488:T116:PRGE	Coagulation factor XIIIa
UNIPROT:Q96MM3:T116:PRGE	Zinc finger protein 42 homolog
UNIPROT:P00492:T116:PRGE	Hypoxanthine-guanine phosphoribosyltransferase
UNIPROT:Q8TDJ6:T116:PRGE	DmX-like protein 2
UNIPROT:Q7LGA3:T116:PRGE	Heparan sulfate 2-O-sulfotransferase 1
UNIPROT:P00491:T116:PRGE	Purine nucleoside phosphorylase
UNIPROT:Q9BSH4:T116:PRGE	Translational activator of cytochrome c oxidase 1
UNIPROT:Q9BSH3:T116:PRGE	Nicolin-1
UNIPROT:Q96MM1:T116:PRGE	Putative uncharacterized protein C14orf81
UNIPROT:Q9BSH5:T116:PRGE	Haloacid dehalogenase-like hydrolase domain-containing protein 3
UNIPROT:Q14451:T116:PRGE	Growth factor receptor-bound protein 7
UNIPROT:Q8IU85:T116:PRGE	Calcium/calmodulin-dependent protein kinase type 1D
UNIPROT:Q96MM6:T116:PRGE	Heat shock 70 kDa protein 12B
UNIPROT:Q9UGY1:T116:PRGE	Nucleolar protein 12
UNIPROT:Q8IU89:T116:PRGE	LAG1 longevity assurance homolog 3
UNIPROT:Q14457:T116:PRGE	Beclin-1
UNIPROT:P00480:T116:PRGE	Ornithine carbamoyltransferase, mitochondrial
UNIPROT:Q8TDI8:T116:PRGE	Transmembrane channel-like protein 1
